frame.len,frame.protocols,ip.hdr_len,ip.len,ip.flags.rb,ip.flags.df,p.flags.mf,ip.frag_offset,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.ack,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,tcp.window_size,tcp.time_delta,
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
140,eth:ethertype:ip:tcp:ssh,20,126,0,1,0,0,109,6,178.216.97.244,192.168.2.107,22,2195,86,1,0,0,0,0,0,1,1,0,0,0,64204,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,45,17,99.24.221.80,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.2.107,178.216.97.244,2195,22,0,87,0,0,0,0,0,1,0,0,0,0,13757,0.157975,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,99.24.221.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
566,eth:ethertype:ip:tcp:data,20,552,0,0,0,0,47,6,76.105.255.185,192.168.2.107,51413,2115,512,1,0,0,0,0,0,1,0,0,0,0,65535,0,attack
566,eth:ethertype:ip:tcp:data,20,552,0,0,0,0,47,6,76.105.255.185,192.168.2.107,51413,2115,512,1,0,0,0,0,0,1,1,0,0,0,65535,0.0015,attack
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.2.107,76.105.255.185,2115,51413,0,1025,0,0,0,0,0,1,0,0,0,0,15472,0.000599,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,110,17,99.163.132.209,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,99.163.132.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
71,eth:ethertype:ip:tcp:data,20,57,0,1,0,0,128,6,192.168.2.107,95.133.100.164,2090,35691,17,1,0,0,0,0,0,1,1,0,0,0,17520,0,attack
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.2.107,76.105.255.185,2115,51413,0,1025,0,0,0,0,0,1,0,0,0,0,17520,0.258641,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
1514,eth:ethertype:ip:tcp:data,20,1500,0,1,0,0,106,6,77.41.70.224,192.168.2.107,27571,2114,1460,1,0,0,0,0,0,1,1,0,0,0,63213,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,45,17,99.24.221.80,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,99.24.221.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
79,eth:ethertype:ip:udp:data,20,65,0,0,0,0,128,17,192.168.2.107,220.126.251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
1262,eth:ethertype:ip:udp:data,20,1248,0,0,0,0,105,17,121.7.137.217,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,121.7.137.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
60,eth:ethertype:ip:tcp,20,40,0,1,0,0,128,6,192.168.2.107,77.41.70.224,2114,27571,0,1461,0,0,0,0,0,1,0,0,0,0,17520,0.156761,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
79,eth:ethertype:ip:udp:data,20,65,0,0,0,0,128,17,192.168.2.107,67.173.154.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
362,eth:ethertype:ip:udp:data,20,348,0,0,0,0,108,17,125.30.95.202,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,178.95.241.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
62,eth:ethertype:ip:udp:data,20,48,0,0,0,0,128,17,192.168.2.107,125.30.95.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
212,eth:ethertype:ip:udp:data,20,198,0,0,0,0,112,17,178.95.241.121,192.168.2.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,attack
